,Time for HR (s),HR (BPM),Avg HR (BPM)
51,43.624,74.25742574257427,71.87193395454834
52,44.432,73.5294117647063,71.8864942341057
53,45.248,74.25742574257427,71.8864942341057
54,46.056,72.81553398058206,71.9142334851459
55,46.88,72.11538461538456,71.98295256156153
56,47.712,72.8155339805827,72.05037435228427
57,48.536,71.42857142857174,72.1027989918649
58,49.376,70.75471698113216,72.1972404381682
59,50.224,72.81553398058206,72.23767897159738
60,51.048,72.11538461538456,72.2242018826486
61,51.88,69.44444444444467,72.22420188264861
62,52.744,70.0934579439251,72.26541822263759
63,53.6,72.11538461538456,72.2654182226376
64,54.432,70.09345794392569,72.29212049233053
65,55.288,70.0934579439251,72.29212049233053
66,56.144,70.75471698113216,72.31985974337073
67,56.992,68.80733944954129,72.3338627306747
68,57.864,68.80733944954129,72.37430126410386
69,58.736,70.0934579439251,72.44302034051951
70,59.592,68.80733944954129,72.49746186125263
71,60.464,70.0934579439251,72.51119812498891
72,61.32,72.11538461538456,72.45235728944905
73,62.152,73.52941176470566,72.36227621648338
74,62.968,74.25742574257427,72.24208390879106
75,63.776,75.75757575757629,72.11078649583641
76,64.568,74.25742574257362,72.01072932030753
77,65.376,73.52941176470694,71.91446969434492
78,66.192,72.81553398058144,71.80751782268715
79,67.016,73.52941176470694,71.7242384667142
80,67.832,72.81553398058144,71.69649921567398
81,68.656,71.42857142857234,71.64308041225516
82,69.496,73.52941176470566,71.58863889152202
83,70.312,72.11538461538393,71.57516180257323
84,71.144,70.75471698113216,71.57516180257323
85,71.992,71.42857142857234,71.50774001185047
86,72.832,72.81553398058144,71.44157910853362
87,73.656,71.42857142857234,71.48126164821615
88,74.496,71.42857142857113,71.45553927832846
89,75.336,71.42857142857113,71.3893783750116
90,76.176,72.8155339805827,71.40260355575573
91,77.0,72.8155339805827,71.44304208918493
92,77.824,72.11538461538393,71.48425842917392
93,78.656,73.52941176470694,71.57869987547723
94,79.472,72.81553398058144,71.7025530864864
95,80.296,72.11538461538517,71.78583244245938
96,81.128,72.8155339805827,71.89483416832005
97,81.952,72.8155339805827,71.94927568905317
98,82.776,72.11538461538393,71.94927568905318
99,83.608,70.75471698113216,71.9072588823305
100,84.456,70.75471698113216,71.90725888233051
101,85.304,69.4444444444441,71.97105473560003
102,86.168,68.18181818181853,72.13425786910022
103,87.048,70.09345794392569,72.29410441641477
104,87.904,71.42857142857113,72.36840598170107
105,88.744,69.4444444444441,72.38296626125845
106,89.608,70.09345794392569,72.45726782654475
107,90.464,70.75471698113216,72.52869639797332
108,91.312,70.75471698113216,72.5432566775307
109,92.16,69.4444444444441,72.600948985223
110,93.024,68.80733944954129,72.67100316045186
111,93.896,71.42857142857113,72.68473942418808
112,94.736,68.80733944954129,72.6990169798706
113,95.608,68.80733944954129,72.71275324360683
114,96.48,70.75471698113216,72.68605097391392
115,97.328,72.11538461538517,72.64636843423138
116,98.16,72.8155339805827,72.56620454361055
117,98.984,73.52941176470566,72.47353022763528
118,99.8,75.00000000000027,72.39485889896395
119,100.6,74.25742574257362,72.27562201502117
120,101.408,74.25742574257492,72.14674496372812
121,102.216,72.81553398058144,72.04372298570614
122,103.04,72.11538461538517,71.90320177977868
123,103.872,71.42857142857113,71.79824245151838
124,104.712,74.25742574257492,71.6952204734964
125,105.52,78.9473684210521,71.6194118481595
126,106.28,82.41758241758305,71.76681750853685
127,107.008,81.52173913043431,71.86307713449945
128,107.744,76.53061224489737,72.07838813928414
